,Zipcode,Lat,Lng
688,35044,33.2620931,-86.3680869
689,35178,33.4086933,-86.39847929999999
690,38001,34.599732,-118.7244898
691,33619,27.9363828,-82.37773349999999
692,33810,28.0905324,-82.0189155
693,30904,33.4775837,-82.013465
694,36345,31.38234929999999,-85.2929384
695,39339,33.1197471,-88.9796776
696,38301,35.5821649,-88.8455037
697,32501,30.423724,-87.2269973
698,37406,35.0675923,-85.26189869999999
699,33147-4433,25.84791,-80.2377078
700,36253,25.84791,-80.2377078
701,36201,33.6619818,-85.9100089
702,33169,25.9400585,-80.2153998
703,29651,34.8542647,-82.1931149
704,33592,28.0944715,-82.2909146
705,38002,35.280438,-89.7192132
706,31206,32.7962119,-83.6880257
707,33010,25.839203,-80.2823063
708,42029,25.839203,-80.2823063
709,28786,35.4731561,-83.01465259999999
710,29835,33.9334188,-82.2800546
711,29644,34.6785692,-82.1931149
712,28738,35.4799999,-83.0
713,32506,30.3979028,-87.3711477
714,28704,35.4576471,-82.57268049999999
715,33403,26.8070321,-80.0814292
716,42350,37.4555322,-87.1622344
717,29718,34.6335004,-80.3435908
718,32060,30.3012564,-83.12200740000002
719,32209,30.36173479999999,-81.69663059999999
720,31520,31.1763619,-81.50477719999999
721,29520,34.6884611,-79.9416549
722,28025,35.3898417,-80.5216184
723,32601,29.64225159999999,-82.3289111
724,42206,36.8875436,-86.72151749999999
725,33850,28.1079019,-81.7239979
726,31730,31.1830005,-84.3121264
727,28542,34.67,-77.34000000000002
728,28303,35.0938365,-78.9627624
729,36109,32.3855324,-86.2514126
730,29714,34.7219022,-80.92077370000001
731,28301,35.06375209999999,-78.8722341
732,38017,35.0603204,-89.64399240000002
733,32301,30.4305062,-84.25421949999999
734,32301,30.4305062,-84.25421949999999
735,30125,34.0196497,-85.31362179999999
736,30125,34.0196497,-85.31362179999999
737,28150,35.3380357,-81.5815776
738,28330,34.9134195,-79.8235462
739,38057,35.059261,-89.3795835
740,39505,30.4434816,-89.1010422
741,33069,26.2286939,-80.1596041
742,28778,35.6108066,-82.4102628
743,28533,34.9371962,-76.8121419
744,32804,28.5747416,-81.3949264
745,36553,31.2253371,-88.0705319
746,32807,28.5513952,-81.30142839999999
747,37748,35.9419218,-84.5012435
748,32220-1806,30.3424249,-81.84429340000001
749,33150,25.8487631,-80.20703280000001
750,37317,35.0245776,-84.5012435
751,33564,28.0157667,-82.1253711
